J8515632 GPS Records(1760)					
Time Range:2019-02-02 13:20:00 To 2019-02-03 14:46:00					
NO.	GPS Time	Latitude	Longitude	Speed(KM/H)	Direction
307	2019-02-02 18:17:15	25.064285	89.168934	21	East[106]
308	2019-02-02 18:17:45	25.063660	89.171040	12	East[107]
309	2019-02-02 18:18:15	25.063038	89.173272	35	East[106]
310	2019-02-02 18:18:45	25.062252	89.176072	40	East[109]
311	2019-02-02 18:19:15	25.061345	89.179298	42	East[105]
312	2019-02-02 18:19:45	25.060272	89.182952	48	East[107]
313	2019-02-02 18:20:15	25.059532	89.185520	19	East[105]
314	2019-02-02 18:20:45	25.058887	89.187716	13	East[108]
315	2019-02-02 18:21:15	25.058280	89.189814	38	East[104]
316	2019-02-02 18:21:45	25.057316	89.193218	49	East[108]
317	2019-02-02 18:22:15	25.056272	89.196943	33	East[108]
318	2019-02-02 18:22:45	25.055427	89.199894	39	East[105]
319	2019-02-02 18:23:15	25.054540	89.202960	40	East[107]
320	2019-02-02 18:23:45	25.053527	89.206472	46	East[105]
321	2019-02-02 18:24:15	25.052900	89.208658	16	East[107]
322	2019-02-02 18:24:45	25.052209	89.211005	30	East[108]
323	2019-02-02 18:25:15	25.051534	89.213263	31	East[107]
324	2019-02-02 18:25:45	25.050880	89.215476	13	East[112]
325	2019-02-02 18:26:15	25.050329	89.217512	14	East[105]
326	2019-02-02 18:26:45	25.049616	89.220009	46	East[107]
327	2019-02-02 18:27:15	25.048989	89.222285	21	East[108]
328	2019-02-02 18:27:45	25.048174	89.225129	46	East[105]
329	2019-02-02 18:28:15	25.046998	89.229289	56	East[107]
330	2019-02-02 18:28:45	25.045767	89.233547	56	East[106]
331	2019-02-02 18:29:15	25.044487	89.238000	56	East[108]
332	2019-02-02 18:29:45	25.043183	89.242649	59	East[107]
333	2019-02-02 18:30:15	25.042136	89.246312	43	East[106]
334	2019-02-02 18:30:45	25.041509	89.248516	23	East[107]
335	2019-02-02 18:31:15	25.040934	89.250480	27	East[108]
336	2019-02-02 18:31:45	25.040203	89.253005	16	East[98]
337	2019-02-02 18:32:15	25.039965	89.253885	21	East[103]
338	2019-02-02 18:32:45	25.039509	89.256116	26	East[101]
339	2019-02-02 18:33:15	25.039045	89.259005	36	East[100]
340	2019-02-02 18:33:45	25.038547	89.262089	37	East[99]
341	2019-02-02 18:34:15	25.038143	89.264596	14	East[109]
342	2019-02-02 18:34:45	25.037763	89.266960	34	East[100]
343	2019-02-02 18:35:15	25.037307	89.269734	32	East[99]
344	2019-02-02 18:35:45	25.036923	89.272258	27	East[100]
345	2019-02-02 18:36:15	25.036620	89.274107	20	East[97]
346	2019-02-02 18:36:45	25.036269	89.276267	31	East[99]
347	2019-02-02 18:37:15	25.036005	89.277974	15	East[100]
348	2019-02-02 18:37:45	25.035794	89.279307	19	East[96]
349	2019-02-02 18:38:15	25.035620	89.280400	18	East[102]
350	2019-02-02 18:38:45	25.035309	89.282312	35	East[100]
351	2019-02-02 18:39:15	25.034752	89.285716	44	East[99]
352	2019-02-02 18:39:45	25.033672	89.289529	46	Southeast[118]
353	2019-02-02 18:40:15	25.032400	89.291858	32	Southeast[121]
354	2019-02-02 18:40:45	25.030843	89.294720	24	Southeast[119]
355	2019-02-02 18:41:15	25.029500	89.297156	42	Southeast[120]
356	2019-02-02 18:41:45	25.027796	89.300267	40	Southeast[119]
357	2019-02-02 18:42:15	25.026756	89.302098	7	Southeast[123]
358	2019-02-02 18:42:45	25.026223	89.303085	26	Southeast[121]
359	2019-02-02 18:43:15	25.024640	89.306027	48	Southeast[120]
360	2019-02-02 18:43:45	25.023809	89.307547	21	East[109]
361	2019-02-02 18:44:15	25.022998	89.310214	39	East[102]
362	2019-02-02 18:44:45	25.022758	89.313360	20	East[89]
363	2019-02-02 18:45:15	25.022847	89.314747	20	East[80]
364	2019-02-02 18:50:20	25.022503	89.316365	16	South[169]
